"lakename","lakeid","year4","daynum","sampledate","division","genus","species","description","concentration","gal_dimension","mean_individ_vol","mean_individ_biovol","total_vol","total_biovol" 
"Paul Lake","L",1995,208,1995-07-27,"Cryptophyta","Cryptomonas","ovata",NA,22.65,26.4,NA,1557.44,NA,0.035
"Paul Lake","L",1995,208,1995-07-27,"Bacillariophyta","Cyclotella",NA,NA,1.461,4.4,NA,23.404,NA,0
"Paul Lake","L",1995,208,1995-07-27,"Chrysophyta","Dinobryon","bavaricum",NA,2.192,64.533,NA,161,NA,0
"Paul Lake","L",1995,208,1995-07-27,"Chrysophyta","Dinobryon","bavaricum",NA,0.731,132,NA,322,NA,0
"Paul Lake","L",1995,208,1995-07-27,"Chrysophyta","Dinobryon","divergens",NA,0.731,132,NA,618,NA,0
"Paul Lake","L",1995,208,1995-07-27,"Pyrrhophyta","Gymnodinium",NA,"sp. 3",1.461,8.8,NA,126.724,NA,0
"Paul Lake","L",1995,208,1995-07-27,"Chrysophyta","Kephyrion",NA,"sp. 1",26.043,6.6,NA,150.36,NA,0.004
"Paul Lake","L",1995,208,1995-07-27,"Chrysophyta","Mallomonaas","acaroides",NA,2.923,44,NA,1158.332,NA,0.003
"Paul Lake","L",1995,208,1995-07-27,"Chrysophyta","Mallomonaas","caudata",NA,2.923,44,NA,5457.526,NA,0.016
"Paul Lake","L",1995,208,1995-07-27,"Chrysophyta","Mallomonas",NA,NA,0.731,22,NA,2004.805,NA,0.001
"Paul Lake","L",1995,208,1995-07-27,"Cyanophyta","Merismopedia","tenuissima",NA,24.842,52.25,NA,441.336,NA,0.011
"Paul Lake","L",1995,208,1995-07-27,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",2213.691,2.338,NA,8.071,NA,0.018
"Paul Lake","L",1995,208,1995-07-27,"Miscellaneous",NA,NA,"Misc. micros, 2 flagella",130.217,4.4,NA,25.06,NA,0.003
"Paul Lake","L",1995,208,1995-07-27,"Chrysophyta","Monodus","clavata",NA,0.731,22,NA,278.845,NA,0
"Paul Lake","L",1995,208,1995-07-27,"Chlorophyta","Monomastix","astigmata",NA,612.02,7.15,NA,38.699,NA,0.024
"Paul Lake","L",1995,208,1995-07-27,"Bacillariophyta","Nitzschia",NA,NA,0.731,33,NA,82.751,NA,0
"Paul Lake","L",1995,208,1995-07-27,"Chlorophyta","Oocystis","borgei",NA,0.731,22,NA,3207.689,NA,0.002
"Paul Lake","L",1995,208,1995-07-27,"Chlorophyta","Oocystis","parva",NA,2.923,18.15,NA,696.113,NA,0.002
"Paul Lake","L",1995,208,1995-07-27,"Chlorophyta","Oocystis","pusilla",NA,0.731,11,NA,100.24,NA,0
"Paul Lake","L",1995,208,1995-07-27,"Cyanophyta","Phormidium","mucicola",NA,0.731,22,NA,188.07,NA,0
"Paul Lake","L",1995,208,1995-07-27,"Chlorophyta","Quadrigula","lacustris",NA,1.461,11,NA,41.793,NA,0
"Paul Lake","L",1995,208,1995-07-27,"Chlorophyta","Schroederia","judayi",NA,1.461,29.7,NA,61.837,NA,0
"Paul Lake","L",1995,208,1995-07-27,"Chlorophyta","Sphaerocystis","schroeteri",NA,18.266,33,NA,2587.916,NA,0.047
"Paul Lake","L",1995,208,1995-07-27,"Chrysophyta","Stichogloea","olivacea",NA,21.919,24.75,NA,1530.056,NA,0.034
"Paul Lake","L",1995,208,1995-07-27,"Chlorophyta","Tetracystis","pulchra",NA,19.727,31.35,NA,5290.459,NA,0.104
"East Long Lake","E",1995,212,1995-07-31,"Bacillariophyta","Achnanthes",NA,NA,4.384,22,NA,220.669,NA,0.001
"East Long Lake","E",1995,212,1995-07-31,"Chlorophyta","Carteria","globulosa",NA,711.854,8.8,NA,138.109,NA,0.098
"East Long Lake","E",1995,212,1995-07-31,"Chlorophyta","Chlamydomonas","platystigma",NA,2454.946,8.8,NA,89.102,NA,0.219
"East Long Lake","E",1995,212,1995-07-31,"Cryptophyta","Chroomonas",NA,NA,17.362,7.7,NA,53.84,NA,0.001
"East Long Lake","E",1995,212,1995-07-31,"Cryptophyta","Cryptomonas","erosa",NA,179.737,18.15,NA,521.175,NA,0.094
"East Long Lake","E",1995,212,1995-07-31,"Cryptophyta","Cryptomonas","ovata",NA,56.99,29.333,NA,2167.918,NA,0.124
"East Long Lake","E",1995,212,1995-07-31,"Chlorophyta","Cystomonas","starrii",NA,8.768,13.2,NA,1202.883,NA,0.011
"East Long Lake","E",1995,212,1995-07-31,"Miscellaneous","Gonyostomum","semen",NA,13.151,46.933,NA,8876.387,NA,0.117
"East Long Lake","E",1995,212,1995-07-31,"Pyrrhophyta","Gymnodinium",NA,"sp. 1",4.384,17.6,NA,1013.788,NA,0.004
"East Long Lake","E",1995,212,1995-07-31,"Pyrrhophyta","Gymnodinium",NA,"sp. 2",8.768,12.1,NA,337.599,NA,0.003
"East Long Lake","E",1995,212,1995-07-31,"Chrysophyta","Mallomonaas","acaroides",NA,416.464,16.5,NA,943.929,NA,0.393
"East Long Lake","E",1995,212,1995-07-31,"Chrysophyta","Mallomonas",NA,NA,39.454,26.4,NA,2405.767,NA,0.095
"East Long Lake","E",1995,212,1995-07-31,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",13889.825,1.925,NA,3.959,NA,0.055
"East Long Lake","E",1995,212,1995-07-31,"Chlorophyta","Oocystis","parva",NA,17.535,16.5,NA,1102.643,NA,0.019
"East Long Lake","E",1995,212,1995-07-31,"Chlorophyta","Schizochlamys","compacta",NA,8.768,24.2,NA,1247.434,NA,0.011
"East Long Lake","E",1995,212,1995-07-31,"Chlorophyta","Schroederia","judayi",NA,52.606,24.2,NA,32.391,NA,0.002
"East Long Lake","E",1995,212,1995-07-31,"Euglenophyta","Trachelomonas",NA,NA,4.384,17.6,NA,2851.279,NA,0.013
"West Long Lake","W",1995,213,1995-08-01,"Chlorophyta","Chlamydomonas","platystigma",NA,52.087,6.6,NA,66.827,NA,0.003
"West Long Lake","W",1995,213,1995-08-01,"Chlorophyta","Crucigenia","rectangularis",NA,4.384,44,NA,1603.844,NA,0.007
"West Long Lake","W",1995,213,1995-08-01,"Chlorophyta","Crucigenia","truncata",NA,17.362,11,NA,116.16,NA,0.002
"West Long Lake","W",1995,213,1995-08-01,"Cryptophyta","Cryptomonas","caudata",NA,208.347,9.9,NA,510.762,NA,0.106
"West Long Lake","W",1995,213,1995-08-01,"Cryptophyta","Cryptomonas","erosa",NA,156.261,19.8,NA,673.268,NA,0.105
"West Long Lake","W",1995,213,1995-08-01,"Cryptophyta","Cryptomonas","ovata",NA,17.362,24.2,NA,1199.625,NA,0.021
"West Long Lake","W",1995,213,1995-08-01,"Chlorophyta","Cystomonas","starrii",NA,2048.749,7.7,NA,311.859,NA,0.639
"West Long Lake","W",1995,213,1995-08-01,"Chlorophyta","Elakatothrix","gelatinosa",NA,17.362,11,NA,26.769,NA,0
"West Long Lake","W",1995,213,1995-08-01,"Pyrrhophyta","Gymnodinium",NA,"sp. 1",13.151,15.4,NA,706.88,NA,0.009
"West Long Lake","W",1995,213,1995-08-01,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",1823.039,2.2,NA,5.569,NA,0.01
"West Long Lake","W",1995,213,1995-08-01,"Miscellaneous",NA,NA,"Misc. micros, 2 flagella",52.087,4.4,NA,11.138,NA,0.001
"West Long Lake","W",1995,213,1995-08-01,"Chlorophyta","Monomastix","astigmata",NA,816.027,7.333,NA,40.727,NA,0.033
"West Long Lake","W",1995,213,1995-08-01,"Chlorophyta","Oocystis","parva",NA,34.725,11,NA,111.378,NA,0.004
"West Long Lake","W",1995,213,1995-08-01,"Pyrrhophyta","Peridinium","umbonatum",NA,4.384,17.6,NA,2142.548,NA,0.009
"West Long Lake","W",1995,213,1995-08-01,"Chlorophyta","Schroederia","judayi",NA,34.725,27.5,NA,9.202,NA,0
"West Long Lake","W",1995,213,1995-08-01,"Chlorophyta","Sphaerocystis","schroeteri",NA,52.087,51.333,NA,3611.898,NA,0.188
"Peter Lake","R",1995,214,1995-08-02,"Cyanophyta","Anabaena","flos-aquae",NA,17.362,45.1,NA,8759.886,NA,0.152
"Peter Lake","R",1995,214,1995-08-02,"Cyanophyta","Anabaena","macrospora",NA,138.898,203.5,NA,8019.222,NA,1.114
"Peter Lake","R",1995,214,1995-08-02,"Chlorophyta","Chlamydomonas",NA,NA,17.362,11,NA,445.512,NA,0.008
"Peter Lake","R",1995,214,1995-08-02,"Cryptophyta","Cryptomonas","caudata",NA,17.362,8.8,NA,454.01,NA,0.008
"Peter Lake","R",1995,214,1995-08-02,"Cryptophyta","Cryptomonas","erosa",NA,34.725,17.05,NA,431.327,NA,0.015
"Peter Lake","R",1995,214,1995-08-02,"Cryptophyta","Cryptomonas","ovata",NA,34.725,24.2,NA,1199.625,NA,0.042
"Peter Lake","R",1995,214,1995-08-02,"Chlorophyta","Cystomonas","starrii",NA,17.362,13.2,NA,1202.883,NA,0.021
"Peter Lake","R",1995,214,1995-08-02,"Chlorophyta","Gloeococcus","minor",NA,17.362,33,NA,1910.134,NA,0.033
"Peter Lake","R",1995,214,1995-08-02,"Pyrrhophyta","Gymnodinium",NA,"sp. 1",34.725,19.8,NA,1443.46,NA,0.05
"Peter Lake","R",1995,214,1995-08-02,"Pyrrhophyta","Gymnodinium",NA,"sp. 3",34.725,8.8,NA,126.724,NA,0.004
"Peter Lake","R",1995,214,1995-08-02,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",1041.737,2.2,NA,5.569,NA,0.006
"Peter Lake","R",1995,214,1995-08-02,"Miscellaneous",NA,NA,"Misc. micros, 2 flagella",34.725,4.4,NA,11.138,NA,0
"Peter Lake","R",1995,214,1995-08-02,"Chlorophyta","Monoraphidium","capricornutum",NA,9375.632,3.85,NA,4.877,NA,0.046
"Peter Lake","R",1995,214,1995-08-02,"Chlorophyta",NA,NA,"non-motile chorococcales",277.796,4.4,NA,44.551,NA,0.012
"Peter Lake","R",1995,214,1995-08-02,"Chrysophyta",NA,NA,"Non-motile chrysophytes",34.725,5.5,NA,87.014,NA,0.003
"Peter Lake","R",1995,214,1995-08-02,"Chlorophyta","Oocystis","parva",NA,104.174,10.633,NA,366.852,NA,0.038
"Peter Lake","R",1995,214,1995-08-02,"Cyanophyta","Oscillatoria","limnetica",NA,17.362,198,NA,752.281,NA,0.013
"Peter Lake","R",1995,214,1995-08-02,"Chlorophyta","Pandorina",NA,NA,17.362,33,NA,5702.558,NA,0.099
"Peter Lake","R",1995,214,1995-08-02,"Chrysophyta","Polygoniochloris","circularis",NA,17.362,6.6,NA,45.158,NA,0.001
"Peter Lake","R",1995,214,1995-08-02,"Chlorophyta","Scenedesmus","brasiliensis",NA,86.811,12.1,NA,228.819,NA,0.02
"Peter Lake","R",1995,214,1995-08-02,"Chlorophyta","Sphaerocystis","schroeteri",NA,5156.597,16.156,NA,292.411,NA,1.508
"Peter Lake","R",1995,214,1995-08-02,"Chlorophyta","Staurastrum","iotanum",NA,52.087,44,NA,1492.658,NA,0.078
"Peter Lake","R",1995,214,1995-08-02,"Chlorophyta","Staurastrum","tetracerum",NA,34.725,33,NA,253.534,NA,0.009
"Peter Lake","R",1995,214,1995-08-02,"Bacillariophyta","Synedra",NA,NA,17.362,66,NA,165.502,NA,0.003
"Paul Lake","L",1995,215,1995-08-03,"Cyanophyta","Aphanocapsa","delicatissima",NA,69.449,11,NA,3.315,NA,0
"Paul Lake","L",1995,215,1995-08-03,"Cyanophyta","Aphanothece","nidulans",NA,347.246,12.65,NA,38.72,NA,0.013
"Paul Lake","L",1995,215,1995-08-03,"Chlorophyta","Crucigenia","rectangularis",NA,6.819,37.4,NA,2205.286,NA,0.015
"Paul Lake","L",1995,215,1995-08-03,"Cryptophyta","Cryptomonas","caudata",NA,190.985,8.8,NA,454.01,NA,0.087
"Paul Lake","L",1995,215,1995-08-03,"Cryptophyta","Cryptomonas","erosa",NA,49.683,15.95,NA,376.967,NA,0.019
"Paul Lake","L",1995,215,1995-08-03,"Cryptophyta","Cryptomonas","ovata",NA,0.974,26.4,NA,1557.44,NA,0.002
"Paul Lake","L",1995,215,1995-08-03,"Chrysophyta","Dinobryon","bavaricum",NA,4.871,69.3,NA,161,NA,0.001
"Paul Lake","L",1995,215,1995-08-03,"Chrysophyta","Dinobryon",NA,"cyst",1.948,44,NA,206,NA,0
"Paul Lake","L",1995,215,1995-08-03,"Chrysophyta","Dinobryon","divergens",NA,3.897,159.5,NA,1699.5,NA,0.007
"Paul Lake","L",1995,215,1995-08-03,"Chlorophyta","Elakatothrix","gelatinosa",NA,0.974,55,NA,160.614,NA,0
"Paul Lake","L",1995,215,1995-08-03,"Pyrrhophyta","Gymnodinium",NA,"sp. 1",1.948,33,NA,6771.787,NA,0.013
"Paul Lake","L",1995,215,1995-08-03,"Pyrrhophyta","Gymnodinium",NA,"sp. 2",0.974,13.2,NA,427.692,NA,0
"Paul Lake","L",1995,215,1995-08-03,"Chrysophyta","Mallomonaas","acaroides",NA,1.948,77,NA,1336.537,NA,0.003
"Paul Lake","L",1995,215,1995-08-03,"Chrysophyta","Mallomonaas","caudata",NA,0.974,66,NA,3274.516,NA,0.003
"Paul Lake","L",1995,215,1995-08-03,"Cyanophyta","Merismopedia","tenuissima",NA,6.819,38.72,NA,267.307,NA,0.002
"Paul Lake","L",1995,215,1995-08-03,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",1736.228,2.2,NA,5.569,NA,0.01
"Paul Lake","L",1995,215,1995-08-03,"Chlorophyta","Monomastix","astigmata",NA,1215.36,6.967,NA,33.436,NA,0.041
"Paul Lake","L",1995,215,1995-08-03,"Chlorophyta","Monoraphidium","capricornutum",NA,17.362,4.4,NA,12.542,NA,0
"Paul Lake","L",1995,215,1995-08-03,"Bacillariophyta","Navicula","cryptocephala",NA,0.974,26.4,NA,264.803,NA,0
"Paul Lake","L",1995,215,1995-08-03,"Chlorophyta","Oocystis","parva",NA,4.871,18.7,NA,1019.109,NA,0.005
"Paul Lake","L",1995,215,1995-08-03,"Pyrrhophyta","Peridinium","umbonatum",NA,0.974,13.2,NA,903.887,NA,0.001
"Paul Lake","L",1995,215,1995-08-03,"Chlorophyta","Schroederia","judayi",NA,1.948,34.1,NA,75.087,NA,0
"Paul Lake","L",1995,215,1995-08-03,"Chlorophyta","Sphaerocystis","schroeteri",NA,26.303,58.3,NA,3096.311,NA,0.081
"Paul Lake","L",1995,215,1995-08-03,"Chrysophyta","Stichogloea","olivacea",NA,31.174,16.971,NA,777.26,NA,0.024
"Paul Lake","L",1995,215,1995-08-03,"Chlorophyta","Tetracystis","pulchra",NA,79.883,28.6,NA,4529.375,NA,0.362
"Paul Lake","L",1995,215,1995-08-03,"Chrysophyta","Uroglena",NA,"single",277.796,4.4,NA,44.636,NA,0.012
"East Long Lake","E",1995,219,1995-08-07,"Chlorophyta","Carteria","globulosa",NA,494.825,6.6,NA,53.461,NA,0.026
"East Long Lake","E",1995,219,1995-08-07,"Chlorophyta","Characium","limneticum",NA,1.096,13.2,NA,169.158,NA,0
"East Long Lake","E",1995,219,1995-08-07,"Chlorophyta","Chlamydomonas","platystigma",NA,14.247,13.2,NA,133.654,NA,0.002
"East Long Lake","E",1995,219,1995-08-07,"Cryptophyta","Chroomonas",NA,NA,12.056,17.6,NA,642.938,NA,0.008
"East Long Lake","E",1995,219,1995-08-07,"Cryptophyta","Cryptomonas",NA,"sp. 1",1.096,8.8,NA,66.268,NA,0
"East Long Lake","E",1995,219,1995-08-07,"Cryptophyta","Cryptomonas","erosa",NA,59.182,12.1,NA,153.671,NA,0.009
"East Long Lake","E",1995,219,1995-08-07,"Chlorophyta","Cystomonas","starrii",NA,18.631,15.4,NA,1910.134,NA,0.036
"East Long Lake","E",1995,219,1995-08-07,"Chrysophyta","Dinobryon",NA,"cyst",1.096,44,NA,206,NA,0
"East Long Lake","E",1995,219,1995-08-07,"Chrysophyta","Dinobryon","monads",NA,1.096,48.4,NA,206,NA,0
"East Long Lake","E",1995,219,1995-08-07,"Pyrrhophyta",NA,NA,"Dinoflagellate cyst",1.096,22,NA,4232.367,NA,0.005
"East Long Lake","E",1995,219,1995-08-07,"Miscellaneous","Gonyostomum","semen",NA,3.288,49.867,NA,9664.053,NA,0.032
"East Long Lake","E",1995,219,1995-08-07,"Pyrrhophyta","Gymnodinium",NA,"sp. 1",4.384,22,NA,1980.055,NA,0.009
"East Long Lake","E",1995,219,1995-08-07,"Pyrrhophyta","Gymnodinium",NA,"sp. 2",3.288,13.2,NA,427.692,NA,0.001
"East Long Lake","E",1995,219,1995-08-07,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",1302.171,2.2,NA,5.569,NA,0.007
"East Long Lake","E",1995,219,1995-08-07,"Chlorophyta","Monomastix","astigmata",NA,26.043,6.6,NA,27.957,NA,0.001
"East Long Lake","E",1995,219,1995-08-07,"Pyrrhophyta","Peridinium","umbonatum",NA,4.384,20.35,NA,3224.284,NA,0.014
"East Long Lake","E",1995,219,1995-08-07,"Chlorophyta","Schizochlamys","compacta",NA,7.672,24.75,NA,2098.085,NA,0.016
"East Long Lake","E",1995,219,1995-08-07,"Chlorophyta","Schroederia","judayi",NA,28.495,27.5,NA,36.807,NA,0.001
"East Long Lake","E",1995,219,1995-08-07,"Euglenophyta","Trachelomonas",NA,NA,3.288,16.133,NA,2301.814,NA,0.008
"West Long Lake","W",1995,220,1995-08-08,"Chlorophyta","Chlamydomonas","platystigma",NA,78.13,6.6,NA,66.827,NA,0.005
"West Long Lake","W",1995,220,1995-08-08,"Cryptophyta","Chroomonas",NA,NA,26.043,8.8,NA,80.367,NA,0.002
"West Long Lake","W",1995,220,1995-08-08,"Chlorophyta","Crucigenia","rectangularis",NA,46.03,33.367,NA,1381.088,NA,0.064
"West Long Lake","W",1995,220,1995-08-08,"Chlorophyta","Crucigenia","truncata",NA,6.576,15.4,NA,542.08,NA,0.004
"West Long Lake","W",1995,220,1995-08-08,"Cryptophyta","Cryptomonas","caudata",NA,104.174,10.267,NA,529.679,NA,0.055
"West Long Lake","W",1995,220,1995-08-08,"Cryptophyta","Cryptomonas","erosa",NA,447.151,17.05,NA,443.663,NA,0.198
"West Long Lake","W",1995,220,1995-08-08,"Cryptophyta","Cryptomonas","ovata",NA,19.727,25.3,NA,1378.533,NA,0.027
"West Long Lake","W",1995,220,1995-08-08,"Chlorophyta","Cystomonas","starrii",NA,1952.997,11,NA,737.88,NA,1.441
"West Long Lake","W",1995,220,1995-08-08,"Miscellaneous","Gonyostomum",NA,NA,19.727,22,NA,710.035,NA,0.014
"West Long Lake","W",1995,220,1995-08-08,"Pyrrhophyta","Gymnodinium",NA,"sp. 2",6.576,13.2,NA,427.692,NA,0.003
"West Long Lake","W",1995,220,1995-08-08,"Pyrrhophyta","Gymnodinium",NA,"sp. 3",13.151,9.9,NA,187.115,NA,0.002
"West Long Lake","W",1995,220,1995-08-08,"Chrysophyta","Mallomonaas","acaroides",NA,6.576,17.6,NA,712.82,NA,0.005
"West Long Lake","W",1995,220,1995-08-08,"Cyanophyta","Merismopedia","tenuissima",NA,13.151,44,NA,623.717,NA,0.008
"West Long Lake","W",1995,220,1995-08-08,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",2604.342,2.2,NA,5.569,NA,0.015
"West Long Lake","W",1995,220,1995-08-08,"Miscellaneous",NA,NA,"Misc. micros, 2 flagella",130.217,4.4,NA,11.138,NA,0.001
"West Long Lake","W",1995,220,1995-08-08,"Chlorophyta","Monomastix","astigmata",NA,755.259,7.425,NA,41.644,NA,0.031
"West Long Lake","W",1995,220,1995-08-08,"Chlorophyta","Oocystis","parva",NA,98.636,13.2,NA,359.194,NA,0.035
"West Long Lake","W",1995,220,1995-08-08,"Chlorophyta","Sphaerocystis","schroeteri",NA,59.182,35.514,NA,916.482,NA,0.054
"West Long Lake","W",1995,220,1995-08-08,"Chrysophyta","Synura","sphagnicola",NA,6.576,13.2,NA,300.721,NA,0.002
"Peter Lake","R",1995,221,1995-08-09,"Cyanophyta","Anabaena","flos-aquae",NA,26.043,30.8,NA,3207.689,NA,0.084
"Peter Lake","R",1995,221,1995-08-09,"Cyanophyta","Anabaena","macrospora",NA,104.174,232.1,NA,13289.633,NA,1.384
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Chlamydomonas",NA,NA,52.087,6.6,NA,122.516,NA,0.006
"Peter Lake","R",1995,221,1995-08-09,"Cyanophyta","Chroococcus","limneticus",NA,26.043,11,NA,100.24,NA,0.003
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Cosmarium",NA,NA,8.768,17.6,NA,1301.108,NA,0.011
"Peter Lake","R",1995,221,1995-08-09,"Cryptophyta","Cryptomonas","caudata",NA,52.087,11,NA,567.513,NA,0.03
"Peter Lake","R",1995,221,1995-08-09,"Cryptophyta","Cryptomonas","erosa",NA,156.261,16.5,NA,425.863,NA,0.067
"Peter Lake","R",1995,221,1995-08-09,"Cryptophyta","Cryptomonas","ovata",NA,26.043,22,NA,901.296,NA,0.023
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Cystomonas","starrii",NA,26.043,6.6,NA,150.36,NA,0.004
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Dictyosphaerium","pulchellum",NA,26.043,66,NA,1069.23,NA,0.028
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Elakatothrix","gelatinosa",NA,52.087,44,NA,31.788,NA,0.002
"Peter Lake","R",1995,221,1995-08-09,"Euglenophyta","Euglena",NA,NA,26.043,17.6,NA,2407.3,NA,0.063
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Gloeococcus","minor",NA,8.768,22,NA,2138.459,NA,0.019
"Peter Lake","R",1995,221,1995-08-09,"Pyrrhophyta","Gymnodinium",NA,"sp. 2",26.043,13.2,NA,427.692,NA,0.011
"Peter Lake","R",1995,221,1995-08-09,"Pyrrhophyta","Gymnodinium",NA,"sp. 3",52.087,8.8,NA,126.724,NA,0.007
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Haematococcus",NA,NA,52.087,19.8,NA,626.502,NA,0.033
"Peter Lake","R",1995,221,1995-08-09,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",1302.171,2.2,NA,5.569,NA,0.007
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Monoraphidium","capricornutum",NA,6510.855,4.033,NA,5.11,NA,0.033
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta",NA,NA,"non-motile chorococcales",625.042,4.4,NA,44.551,NA,0.028
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Oocystis","parva",NA,78.13,11.733,NA,345.272,NA,0.027
"Peter Lake","R",1995,221,1995-08-09,"Cyanophyta","Oscillatoria","limnetica",NA,4.384,77,NA,1176.902,NA,0.005
"Peter Lake","R",1995,221,1995-08-09,"Pyrrhophyta","Peridinium","umbonatum",NA,13.151,13.2,NA,903.887,NA,0.012
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Scenedesmus","bijuga",NA,26.043,22,NA,401.217,NA,0.01
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Scenedesmus","denticulatus",NA,26.043,17.6,NA,300.912,NA,0.008
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Scenedesmus","quadricauda",NA,26.043,22,NA,522.418,NA,0.014
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Sphaerocystis","schroeteri",NA,5703.509,13.108,NA,178.205,NA,1.016
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Staurastrum","gladiosum",NA,4.384,26.4,NA,5075.529,NA,0.022
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Staurastrum","iotanum",NA,104.174,33,NA,796.513,NA,0.083
"Peter Lake","R",1995,221,1995-08-09,"Chlorophyta","Tetraedron","limneticum",NA,4.384,22,NA,2789.776,NA,0.012
"Peter Lake","R",1995,221,1995-08-09,"Chrysophyta","Uroglena",NA,"single",26.043,4.4,NA,44.636,NA,0.001
"Paul Lake","L",1995,222,1995-08-10,"Cyanophyta","Anabaena","flos-aquae",NA,0.974,24.2,NA,751.802,NA,0.001
"Paul Lake","L",1995,222,1995-08-10,"Chlorophyta","Chlamydomonas",NA,NA,17.362,6.6,NA,104.417,NA,0.002
"Paul Lake","L",1995,222,1995-08-10,"Chlorophyta","Crucigenia","rectangularis",NA,22.406,44,NA,5212.494,NA,0.117
"Paul Lake","L",1995,222,1995-08-10,"Cryptophyta","Cryptomonas","caudata",NA,17.362,12.1,NA,624.264,NA,0.011
"Paul Lake","L",1995,222,1995-08-10,"Cryptophyta","Cryptomonas","erosa",NA,12.664,16.5,NA,385.304,NA,0.005
"Paul Lake","L",1995,222,1995-08-10,"Chrysophyta","Dinobryon","bavaricum",NA,1.948,68.2,NA,161,NA,0
"Paul Lake","L",1995,222,1995-08-10,"Chrysophyta","Dinobryon","bavaricum",NA,0.974,132,NA,161,NA,0
"Paul Lake","L",1995,222,1995-08-10,"Chrysophyta","Dinobryon",NA,"cyst",3.897,41.8,NA,206,NA,0.001
"Paul Lake","L",1995,222,1995-08-10,"Chrysophyta","Dinobryon","divergens",NA,0.974,105.6,NA,618,NA,0.001
"Paul Lake","L",1995,222,1995-08-10,"Chlorophyta","Elakatothrix","gelatinosa",NA,3.897,25.85,NA,42.384,NA,0
"Paul Lake","L",1995,222,1995-08-10,"Chrysophyta","Ellipsoidion","pachydermum",NA,17.362,13.2,NA,52.208,NA,0.001
"Paul Lake","L",1995,222,1995-08-10,"Bacillariophyta","Gomphonema","parvulum",NA,33.122,22.88,NA,1189.407,NA,0.039
"Paul Lake","L",1995,222,1995-08-10,"Cyanophyta","Gomphosphaeria","lacustris",NA,0.974,17.6,NA,75.18,NA,0
"Paul Lake","L",1995,222,1995-08-10,"Chrysophyta","Kephyrion",NA,"sp. 1",17.362,6.6,NA,150.36,NA,0.003
"Paul Lake","L",1995,222,1995-08-10,"Chrysophyta","Mallomonaas","acaroides",NA,1.948,55,NA,2199.717,NA,0.004
"Paul Lake","L",1995,222,1995-08-10,"Chrysophyta","Mallomonas",NA,NA,0.974,13.2,NA,1202.883,NA,0.001
"Paul Lake","L",1995,222,1995-08-10,"Cyanophyta","Merismopedia","tenuissima",NA,5.845,44,NA,339.703,NA,0.002
"Paul Lake","L",1995,222,1995-08-10,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",3298.833,2.2,NA,5.569,NA,0.018
"Paul Lake","L",1995,222,1995-08-10,"Chrysophyta","Monodus","clavata",NA,1.948,22,NA,228.652,NA,0
"Paul Lake","L",1995,222,1995-08-10,"Chlorophyta","Monomastix","astigmata",NA,607.68,7.425,NA,42.809,NA,0.026
"Paul Lake","L",1995,222,1995-08-10,"Chlorophyta","Oocystis","borgei",NA,0.974,22,NA,2227.562,NA,0.002
"Paul Lake","L",1995,222,1995-08-10,"Chlorophyta","Oocystis","parva",NA,5.845,13.2,NA,417.668,NA,0.002
"Paul Lake","L",1995,222,1995-08-10,"Cyanophyta","Oscillatoria",NA,NA,0.974,39.6,NA,150.456,NA,0
"Paul Lake","L",1995,222,1995-08-10,"Chlorophyta","Schizochlamys","compacta",NA,0.974,33,NA,2851.279,NA,0.003
"Paul Lake","L",1995,222,1995-08-10,"Chlorophyta","Schroederia","judayi",NA,1.948,22,NA,29.446,NA,0
"Paul Lake","L",1995,222,1995-08-10,"Chlorophyta","Sphaerocystis","schroeteri",NA,22.406,42.9,NA,2173.729,NA,0.049
"Paul Lake","L",1995,222,1995-08-10,"Chlorophyta","Tetracystis","pulchra",NA,155.87,25.117,NA,4120.989,NA,0.642
"East Long Lake","E",1995,226,1995-08-14,"Chlorophyta","Carteria","globulosa",NA,34.725,6.6,NA,53.461,NA,0.002
